他, number_of_appearances:3630
一座, number_of_appearances:7
古老, number_of_appearances:2
钢厂, number_of_appearances:1
运转, number_of_appearances:10
那, number_of_appearances:369
回荡, number_of_appearances:12
四壁, number_of_appearances:1
反射, number_of_appearances:3
回来, number_of_appearances:56
带, number_of_appearances:64
空洞, number_of_appearances:10
般, number_of_appearances:21
呜咽, number_of_appearances:3
过程, number_of_appearances:11
中, number_of_appearances:196
前后, number_of_appearances:4
摇摆, number_of_appearances:2
搅, number_of_appearances:3
得, number_of_appearances:242
男孩, number_of_appearances:125
胃, number_of_appearances:17
恶心, number_of_appearances:19
发酸, number_of_appearances:2
股, number_of_appearances:29
好像, number_of_appearances:44
烧焦, number_of_appearances:3
油, number_of_appearances:2
味, number_of_appearances:3
刺激, number_of_appearances:5
感官, number_of_appearances:1
感觉, number_of_appearances:98
更, number_of_appearances:83
难受, number_of_appearances:11
想, number_of_appearances:340
哭喊, number_of_appearances:4
但, number_of_appearances:323
没有, number_of_appearances:384
滴, number_of_appearances:5
泪水, number_of_appearances:9
只能, number_of_appearances:37
坐在, number_of_appearances:55
那儿, number_of_appearances:28
孤身一人, number_of_appearances:1
等待, number_of_appearances:40
我, number_of_appearances:1135
叫, number_of_appearances:34
托马斯, number_of_appearances:1867
心想, number_of_appearances:37
这是, number_of_appearances:76
所, number_of_appearances:22
记得, number_of_appearances:54
关于, number_of_appearances:27
自己, number_of_appearances:476
生命, number_of_appearances:23
唯一, number_of_appearances:37
内容, number_of_appearances:14
不明白, number_of_appearances:20
一切, number_of_appearances:190
怎么, number_of_appearances:95
可能, number_of_appearances:49
发生, number_of_appearances:74
心智, number_of_appearances:3
毫无, number_of_appearances:21
障碍, number_of_appearances:4
地, number_of_appearances:394
努力, number_of_appearances:37
判断, number_of_appearances:11
四周, number_of_appearances:24
状况, number_of_appearances:6
思考, number_of_appearances:18
有, number_of_appearances:362
知识, number_of_appearances:2
喷涌, number_of_appearances:1
现实, number_of_appearances:11
影像, number_of_appearances:11
记忆, number_of_appearances:79
世界, number_of_appearances:44
细节, number_of_appearances:10
以及, number_of_appearances:12
它, number_of_appearances:227
方式, number_of_appearances:15
眼前, number_of_appearances:12
浮现, number_of_appearances:10
出, number_of_appearances:122
挂, number_of_appearances:6
树梢, number_of_appearances:2
白雪, number_of_appearances:1
铺, number_of_appearances:5
满, number_of_appearances:46
枯叶, number_of_appearances:1
道路, number_of_appearances:5
奔跑, number_of_appearances:35
吃, number_of_appearances:58
汉堡包, number_of_appearances:1
月亮, number_of_appearances:1
青翠, number_of_appearances:2
草地, number_of_appearances:4
洒, number_of_appearances:2
下, number_of_appearances:100
苍白, number_of_appearances:16
月光, number_of_appearances:1
汪, number_of_appearances:1
湖水, number_of_appearances:1
游泳, number_of_appearances:2
片, number_of_appearances:49
繁忙, number_of_appearances:1
城市, number_of_appearances:2
广场, number_of_appearances:1
数不清, number_of_appearances:5
人们, number_of_appearances:27
为, number_of_appearances:72
各自, number_of_appearances:11
工作, number_of_appearances:40
奔忙, number_of_appearances:1
然而, number_of_appearances:40
不清楚, number_of_appearances:18
从何, number_of_appearances:3
而, number_of_appearances:134
来, number_of_appearances:282
如何, number_of_appearances:43
进, number_of_appearances:66
台, number_of_appearances:2
黑漆漆, number_of_appearances:4
父母, number_of_appearances:6
是, number_of_appearances:942
谁, number_of_appearances:81
甚至, number_of_appearances:48
不知道, number_of_appearances:130
姓, number_of_appearances:2
什么, number_of_appearances:565
形形色色, number_of_appearances:1
人, number_of_appearances:367
头脑, number_of_appearances:20
闪过, number_of_appearances:14
一个, number_of_appearances:450
也, number_of_appearances:404
无法, number_of_appearances:96
识别, number_of_appearances:1
他们的, number_of_appearances:69
面孔, number_of_appearances:19
化作, number_of_appearances:6
抹, number_of_appearances:6
挥之不去, number_of_appearances:5
色彩, number_of_appearances:5
认, number_of_appearances:1
不得, number_of_appearances:17
其中, number_of_appearances:30
任何, number_of_appearances:65
一个人, number_of_appearances:51
回忆, number_of_appearances:17
哪怕, number_of_appearances:8
只言片语, number_of_appearances:1
还, number_of_appearances:260
拉, number_of_appearances:28
升, number_of_appearances:2
铁链, number_of_appearances:2
发出, number_of_appearances:76
无休止, number_of_appearances:2
嘈杂声, number_of_appearances:3
已经, number_of_appearances:202
不再, number_of_appearances:36
感到, number_of_appearances:268
烦心, number_of_appearances:3
过, number_of_appearances:278
好, number_of_appearances:207
长时, number_of_appearances:14
间, number_of_appearances:46
分分秒秒, number_of_appearances:1
似乎, number_of_appearances:139
拉长, number_of_appearances:4
成了, number_of_appearances:28
一个接一个, number_of_appearances:5
钟头, number_of_appearances:27
正确, number_of_appearances:8
判定, number_of_appearances:1
因为, number_of_appearances:79
每一, number_of_appearances:38
秒钟, number_of_appearances:24
都, number_of_appearances:627
永恒, number_of_appearances:2
不过, number_of_appearances:155
这点, number_of_appearances:4
小聪明, number_of_appearances:1
还是, number_of_appearances:94
有的, number_of_appearances:9
凭着, number_of_appearances:1
直觉, number_of_appearances:8
知道, number_of_appearances:232
大约, number_of_appearances:12
半个, number_of_appearances:7
奇怪, number_of_appearances:43
恐惧, number_of_appearances:84
一群, number_of_appearances:19
小, number_of_appearances:44
蠓虫, number_of_appearances:1
被, number_of_appearances:324
随, number_of_appearances:7
风带, number_of_appearances:1
走, number_of_appearances:176
取而代之, number_of_appearances:2
强烈, number_of_appearances:27
好奇, number_of_appearances:19
究竟, number_of_appearances:50
伴随, number_of_appearances:10
嘎吱, number_of_appearances:2
声, number_of_appearances:100
紧接着, number_of_appearances:15
咣当, number_of_appearances:1
一声, number_of_appearances:83
巨响, number_of_appearances:6
戛然而止, number_of_appearances:2
停顿, number_of_appearances:12
保持, number_of_appearances:14
先前, number_of_appearances:6
蜷曲, number_of_appearances:1
姿势, number_of_appearances:1
地板, number_of_appearances:9
挣扎, number_of_appearances:22
起身, number_of_appearances:51
越来越, number_of_appearances:31
最后, number_of_appearances:105
一动不动, number_of_appearances:12
归于, number_of_appearances:2
沉寂, number_of_appearances:8
分钟, number_of_appearances:52
过去, number_of_appearances:51
两, number_of_appearances:122
朝, number_of_appearances:63
每个, number_of_appearances:15
方向, number_of_appearances:54
张望, number_of_appearances:16
除了, number_of_appearances:40
看不见, number_of_appearances:19
墙壁, number_of_appearances:13
摸索, number_of_appearances:6
寻找, number_of_appearances:31
出口, number_of_appearances:37
冷冰冰, number_of_appearances:3
之外, number_of_appearances:14
沮丧, number_of_appearances:22
哼, number_of_appearances:8
放大, number_of_appearances:1
骇人, number_of_appearances:2
死亡, number_of_appearances:18
呻吟, number_of_appearances:22
回声, number_of_appearances:6
渐渐, number_of_appearances:17
消散, number_of_appearances:6
恢复, number_of_appearances:25
寂静, number_of_appearances:7
尖, number_of_appearances:27
呼叫, number_of_appearances:1
帮助, number_of_appearances:33
用, number_of_appearances:116
拳头, number_of_appearances:11
一通, number_of_appearances:2
敲打, number_of_appearances:4
反应, number_of_appearances:38
又, number_of_appearances:267
退, number_of_appearances:13
回到, number_of_appearances:59
双臂, number_of_appearances:6
战栗, number_of_appearances:2
胸膛, number_of_appearances:14
紧张, number_of_appearances:20
颤抖, number_of_appearances:24
心, number_of_appearances:37
想要, number_of_appearances:26
逃走, number_of_appearances:7
逃离, number_of_appearances:8
躯体, number_of_appearances:3
有人, number_of_appearances:91
吗, number_of_appearances:236
救救, number_of_appearances:2
尖叫, number_of_appearances:51
每, number_of_appearances:61
字, number_of_appearances:54
撕裂, number_of_appearances:2
喉咙, number_of_appearances:12
头顶, number_of_appearances:17
响起, number_of_appearances:23
嘈杂, number_of_appearances:6
叮当声, number_of_appearances:2
惊得, number_of_appearances:6
吸, number_of_appearances:35
一口气, number_of_appearances:42
仰头, number_of_appearances:1
望去, number_of_appearances:7
屋顶, number_of_appearances:5
出现, number_of_appearances:59
一道, number_of_appearances:20
竖直, number_of_appearances:2
光线, number_of_appearances:33
看到, number_of_appearances:94
一点点, number_of_appearances:13
扩大, number_of_appearances:2
摩擦, number_of_appearances:14
扇, number_of_appearances:32
双开, number_of_appearances:1
滑动, number_of_appearances:3
门, number_of_appearances:79
推开, number_of_appearances:8
经过, number_of_appearances:13
长久, number_of_appearances:3
耀眼, number_of_appearances:1
刺痛, number_of_appearances:8
双眼, number_of_appearances:23
转过, number_of_appearances:30
头, number_of_appearances:77
双手, number_of_appearances:39
捂住, number_of_appearances:12
脸, number_of_appearances:55
听到, number_of_appearances:80
人声, number_of_appearances:3
挤压, number_of_appearances:8
看看, number_of_appearances:53
闪, number_of_appearances:72
克, number_of_appearances:54
多大, number_of_appearances:8
活像, number_of_appearances:5
个, number_of_appearances:249
穿, number_of_appearances:9
衣服, number_of_appearances:22
呆瓜, number_of_appearances:9
你, number_of_appearances:969
臭脸, number_of_appearances:13
鬼, number_of_appearances:22
伙计, number_of_appearances:36
这下, number_of_appearances:6
面, number_of_appearances:48
闻起, number_of_appearances:2
就, number_of_appearances:495
像, number_of_appearances:81
脚, number_of_appearances:38
臭味, number_of_appearances:3
希望, number_of_appearances:166
喜欢, number_of_appearances:35
这次, number_of_appearances:22
有来无回, number_of_appearances:1
旅行, number_of_appearances:1
菜鸟, number_of_appearances:88
回程票, number_of_appearances:1
兄弟, number_of_appearances:9
搞, number_of_appearances:18
糊涂, number_of_appearances:2
同时, number_of_appearances:26
惊慌, number_of_appearances:8
那些, number_of_appearances:83
非常, number_of_appearances:30
一些, number_of_appearances:46
单词, number_of_appearances:13
听来, number_of_appearances:6
完全, number_of_appearances:40
陌生, number_of_appearances:2
另, number_of_appearances:43
则, number_of_appearances:11
那么, number_of_appearances:75
一点儿, number_of_appearances:26
熟悉, number_of_appearances:22
慢慢, number_of_appearances:22
眯, number_of_appearances:14
眼, number_of_appearances:15
向那, number_of_appearances:3
和, number_of_appearances:457
说话, number_of_appearances:89
瞥, number_of_appearances:5
只, number_of_appearances:187
看见, number_of_appearances:83
影子, number_of_appearances:18
很快, number_of_appearances:32
轮廓, number_of_appearances:3
洞口, number_of_appearances:9
俯身, number_of_appearances:4
向下, number_of_appearances:11
指指点点, number_of_appearances:2
这时候, number_of_appearances:19
相机, number_of_appearances:1
镜头, number_of_appearances:1
对焦, number_of_appearances:1
清晰, number_of_appearances:19
那是, number_of_appearances:36
几个, number_of_appearances:67
清一色, number_of_appearances:1
年纪, number_of_appearances:5
大有, number_of_appearances:1
期待, number_of_appearances:10
这些, number_of_appearances:96
困惑, number_of_appearances:18
他们, number_of_appearances:500
十几, number_of_appearances:9
岁, number_of_appearances:16
少年, number_of_appearances:3
孩子, number_of_appearances:63
些许, number_of_appearances:5
不足以, number_of_appearances:1
平息, number_of_appearances:4
狂乱, number_of_appearances:1
心跳, number_of_appearances:11
上面, number_of_appearances:23
放下, number_of_appearances:13
一根, number_of_appearances:30
绳索, number_of_appearances:9
绳子, number_of_appearances:9
尽头, number_of_appearances:17
拴, number_of_appearances:1
成, number_of_appearances:34
大环, number_of_appearances:1
犹豫, number_of_appearances:14
一下, number_of_appearances:88
将, number_of_appearances:86
右脚, number_of_appearances:2
伸进, number_of_appearances:1
圈子, number_of_appearances:1
紧紧, number_of_appearances:31
抓住, number_of_appearances:69
向上, number_of_appearances:7
手, number_of_appearances:106
伸, number_of_appearances:12
下来, number_of_appearances:87
很多, number_of_appearances:36
把, number_of_appearances:388
往, number_of_appearances:71
拽, number_of_appearances:36
然后, number_of_appearances:50
旋转, number_of_appearances:16
团, number_of_appearances:24
、, number_of_appearances:214
组成, number_of_appearances:2
迷雾, number_of_appearances:5
涌起, number_of_appearances:16
复杂, number_of_appearances:8
情绪, number_of_appearances:21
内脏, number_of_appearances:2
拧, number_of_appearances:6
结, number_of_appearances:2
扭曲, number_of_appearances:7
拉扯, number_of_appearances:7
呕吐, number_of_appearances:5
安静, number_of_appearances:16
下去, number_of_appearances:61
当, number_of_appearances:21
黑色, number_of_appearances:30
箱体, number_of_appearances:1
锋利, number_of_appearances:8
边缘, number_of_appearances:15
时, number_of_appearances:76
个人, number_of_appearances:51
开口, number_of_appearances:44
永远, number_of_appearances:24
忘不了, number_of_appearances:2
句, number_of_appearances:14
话, number_of_appearances:52
高兴, number_of_appearances:27
见到, number_of_appearances:25
说, number_of_appearances:763
欢迎, number_of_appearances:4
来到, number_of_appearances:31
林间, number_of_appearances:97
空地, number_of_appearances:189
援助之手, number_of_appearances:1
身边, number_of_appearances:48
忙乱, number_of_appearances:2
帮, number_of_appearances:26
站, number_of_appearances:129
直, number_of_appearances:18
身子, number_of_appearances:21
替, number_of_appearances:11
掸, number_of_appearances:1
裤子, number_of_appearances:7
光亮, number_of_appearances:6
仍然, number_of_appearances:18
有些, number_of_appearances:109
眩晕, number_of_appearances:5
踉跄, number_of_appearances:5
充满, number_of_appearances:25
不适, number_of_appearances:5
看, number_of_appearances:255
仔细, number_of_appearances:14
四下, number_of_appearances:10
转动, number_of_appearances:16
脑袋, number_of_appearances:28
懂, number_of_appearances:19
怎么回事, number_of_appearances:21
新, number_of_appearances:30
伙伴, number_of_appearances:7
们, number_of_appearances:60
一言不发, number_of_appearances:12
缓缓, number_of_appearances:6
转, number_of_appearances:27
圈, number_of_appearances:12
孩子们, number_of_appearances:5
窃笑, number_of_appearances:4
目不转睛, number_of_appearances:3
盯住, number_of_appearances:18
伸出, number_of_appearances:24
手指, number_of_appearances:16
戳, number_of_appearances:8
地方, number_of_appearances:178
至, number_of_appearances:7
少有, number_of_appearances:4
五, number_of_appearances:12
十个人, number_of_appearances:2
一个个, number_of_appearances:8
沾满, number_of_appearances:6
污渍, number_of_appearances:3
浑身, number_of_appearances:17
散发, number_of_appearances:8
所有人, number_of_appearances:62
辛苦, number_of_appearances:1
劳作, number_of_appearances:2
外貌, number_of_appearances:2
体形, number_of_appearances:2
种族, number_of_appearances:1
各不相同, number_of_appearances:1
头发, number_of_appearances:20
长短, number_of_appearances:1
不一, number_of_appearances:1
忽然, number_of_appearances:25
头晕, number_of_appearances:2
目光, number_of_appearances:53
男孩子, number_of_appearances:7
这个, number_of_appearances:190
古怪, number_of_appearances:6
之间, number_of_appearances:28
闪烁, number_of_appearances:5
宽大, number_of_appearances:2
庭院, number_of_appearances:19
之中, number_of_appearances:30
大小, number_of_appearances:7
足球场, number_of_appearances:1
大, number_of_appearances:65
耸, number_of_appearances:4
立起, number_of_appearances:1
高大, number_of_appearances:5
灰色, number_of_appearances:25
石墙, number_of_appearances:18
墙上, number_of_appearances:36
点缀, number_of_appearances:1
茂盛, number_of_appearances:6
常春藤, number_of_appearances:24
一定, number_of_appearances:86
几百, number_of_appearances:1
英尺, number_of_appearances:46
高, number_of_appearances:17
完美, number_of_appearances:4
正方形, number_of_appearances:5
正中间, number_of_appearances:3
一般, number_of_appearances:24
缺口, number_of_appearances:16
发现, number_of_appearances:114
通道, number_of_appearances:18
相连, number_of_appearances:1
通向, number_of_appearances:9
外部, number_of_appearances:2
长长, number_of_appearances:18
走廊, number_of_appearances:30
沙哑, number_of_appearances:1
住, number_of_appearances:36
住所, number_of_appearances:1
我会, number_of_appearances:31
给, number_of_appearances:83
好看, number_of_appearances:2
笑, number_of_appearances:44
闭上, number_of_appearances:47
你的, number_of_appearances:84
臭, number_of_appearances:6
嘴, number_of_appearances:45
盖里, number_of_appearances:161
深沉, number_of_appearances:1
回答, number_of_appearances:77
围, number_of_appearances:5
几十, number_of_appearances:10
陌生人, number_of_appearances:4
身上, number_of_appearances:65
必须, number_of_appearances:74
谨慎, number_of_appearances:3
药, number_of_appearances:2
高个子, number_of_appearances:6
方, number_of_appearances:4
下巴, number_of_appearances:4
金发, number_of_appearances:2
对, number_of_appearances:239
不屑, number_of_appearances:3
脸上, number_of_appearances:53
不带, number_of_appearances:3
表情, number_of_appearances:42
胖乎乎, number_of_appearances:2
矮个子, number_of_appearances:4
烦躁, number_of_appearances:1
走来, number_of_appearances:8
走去, number_of_appearances:41
大大, number_of_appearances:6
上下, number_of_appearances:8
打量, number_of_appearances:17
身材, number_of_appearances:5
结实, number_of_appearances:7
肌肉, number_of_appearances:10
亚洲, number_of_appearances:2
抱, number_of_appearances:29
胳膊, number_of_appearances:86
观察, number_of_appearances:31
紧绷, number_of_appearances:6
袖子, number_of_appearances:2
上卷, number_of_appearances:1
众人, number_of_appearances:6
炫耀, number_of_appearances:1
二头肌, number_of_appearances:1
皮肤, number_of_appearances:46
眉头, number_of_appearances:18
紧, number_of_appearances:21
蹙, number_of_appearances:4
刚才, number_of_appearances:60
同一, number_of_appearances:7
还有, number_of_appearances:96
关注, number_of_appearances:7
是在, number_of_appearances:73
哪儿, number_of_appearances:29
问, number_of_appearances:144
残缺不全, number_of_appearances:1
头一, number_of_appearances:7
次, number_of_appearances:30
令, number_of_appearances:37
吃惊, number_of_appearances:40
听起来, number_of_appearances:21
不大, number_of_appearances:11
对劲, number_of_appearances:1
声调, number_of_appearances:1
比, number_of_appearances:523
想象, number_of_appearances:40
要, number_of_appearances:172
不是, number_of_appearances:124
是从, number_of_appearances:27
黑, number_of_appearances:8
口中, number_of_appearances:5
只要, number_of_appearances:24
你自己, number_of_appearances:3
开心, number_of_appearances:12
冷静, number_of_appearances:4
会, number_of_appearances:355
摊, number_of_appearances:2
哪个, number_of_appearances:4
守护人, number_of_appearances:62
人群, number_of_appearances:33
后面, number_of_appearances:27
喊声, number_of_appearances:7
告诉, number_of_appearances:97
尖尖, number_of_appearances:2
所以, number_of_appearances:32
成为, number_of_appearances:40
杂活, number_of_appearances:5
毫无疑问, number_of_appearances:6
咯咯, number_of_appearances:3
刚, number_of_appearances:69
讲, number_of_appearances:24
一句, number_of_appearances:14
天大, number_of_appearances:2
笑话, number_of_appearances:4
带来, number_of_appearances:22
令人, number_of_appearances:36
压抑, number_of_appearances:9
痛楚, number_of_appearances:9
那么多, number_of_appearances:16
理解, number_of_appearances:13
言语, number_of_appearances:6
嘴里, number_of_appearances:22
脱口而出, number_of_appearances:4
自然, number_of_appearances:9
倒, number_of_appearances:29
显得, number_of_appearances:37
件, number_of_appearances:29
怪异, number_of_appearances:28
事, number_of_appearances:81
失忆, number_of_appearances:8
偷走, number_of_appearances:2
好多, number_of_appearances:7
语言, number_of_appearances:3
无所适从, number_of_appearances:1
纷繁, number_of_appearances:1
情感, number_of_appearances:9
内心, number_of_appearances:37
争夺, number_of_appearances:1
控制权, number_of_appearances:1
交织, number_of_appearances:3
在一起, number_of_appearances:48
绝望, number_of_appearances:23
极点, number_of_appearances:7
阴暗, number_of_appearances:4
终结, number_of_appearances:14
抹去, number_of_appearances:9
并用, number_of_appearances:1
可怕, number_of_appearances:73
东西, number_of_appearances:154
跑, number_of_appearances:166
开, number_of_appearances:43
远远, number_of_appearances:3
躲开, number_of_appearances:2
嘶哑, number_of_appearances:6
做, number_of_appearances:231
不, number_of_appearances:295
敢, number_of_appearances:18
性命, number_of_appearances:2
打赌, number_of_appearances:11
嚷嚷, number_of_appearances:11
再, number_of_appearances:126
这样, number_of_appearances:152
唠唠叨叨, number_of_appearances:1
下次, number_of_appearances:3
休息, number_of_appearances:16
时间, number_of_appearances:103
减半, number_of_appearances:1
明白, number_of_appearances:62
头儿, number_of_appearances:5
众目睽睽, number_of_appearances:2
集中, number_of_appearances:11
精神, number_of_appearances:10
称为, number_of_appearances:9
看来, number_of_appearances:30
巨大, number_of_appearances:32
石块, number_of_appearances:9
堆砌, number_of_appearances:1
已, number_of_appearances:42
裂开, number_of_appearances:2
缝, number_of_appearances:2
从中, number_of_appearances:7
探, number_of_appearances:26
高高, number_of_appearances:5
野草, number_of_appearances:3
幢, number_of_appearances:6
破旧, number_of_appearances:5
木头, number_of_appearances:27
房子, number_of_appearances:29
矗立, number_of_appearances:2
石头, number_of_appearances:48
形成, number_of_appearances:10
鲜明, number_of_appearances:3
反差, number_of_appearances:2
棵, number_of_appearances:10
树, number_of_appearances:6
环绕, number_of_appearances:2
树根, number_of_appearances:1
长满, number_of_appearances:6
节瘤, number_of_appearances:1
入, number_of_appearances:7
菜园, number_of_appearances:13
种, number_of_appearances:10
玉米, number_of_appearances:2
番茄, number_of_appearances:2
果树, number_of_appearances:2
围栏, number_of_appearances:5
养, number_of_appearances:4
猪, number_of_appearances:14
奶牛, number_of_appearances:5
大片, number_of_appearances:2
树木, number_of_appearances:6
最近, number_of_appearances:12
处, number_of_appearances:27
东倒西歪, number_of_appearances:3
濒临, number_of_appearances:1
天空, number_of_appearances:49
湛蓝, number_of_appearances:1
一丝, number_of_appearances:33
云彩, number_of_appearances:1
虽是, number_of_appearances:1
明亮, number_of_appearances:5
白昼, number_of_appearances:1
找不到, number_of_appearances:3
太阳, number_of_appearances:28
踪影, number_of_appearances:9
高墙, number_of_appearances:58
清时, number_of_appearances:1
清晨, number_of_appearances:8
午后, number_of_appearances:2
深呼吸, number_of_appearances:2
口, number_of_appearances:12
试着, number_of_appearances:6
放松, number_of_appearances:13
混合, number_of_appearances:6
味道, number_of_appearances:16
迎面, number_of_appearances:4
扑, number_of_appearances:6
翻过, number_of_appearances:4
泥土, number_of_appearances:3
肥料, number_of_appearances:1
松枝, number_of_appearances:1
腐烂, number_of_appearances:5
发, number_of_appearances:12
甜, number_of_appearances:1
农场, number_of_appearances:4
回头, number_of_appearances:25
局促, number_of_appearances:2
按捺不住, number_of_appearances:2
疑问, number_of_appearances:11
俘虏, number_of_appearances:1
为什么, number_of_appearances:92
脑子, number_of_appearances:35
词, number_of_appearances:34
领会, number_of_appearances:1
神情, number_of_appearances:12
借此, number_of_appearances:3
评判, number_of_appearances:1
仇恨, number_of_appearances:6
燃烧, number_of_appearances:5
刺骨, number_of_appearances:2
冰冷, number_of_appearances:13
愤怒, number_of_appearances:27
至极, number_of_appearances:6
要是, number_of_appearances:35
拿, number_of_appearances:26
刀, number_of_appearances:17
走上, number_of_appearances:19
不会, number_of_appearances:73
意外, number_of_appearances:3
一头, number_of_appearances:56
黑发, number_of_appearances:5
相遇, number_of_appearances:1
摇, number_of_appearances:20
摇头, number_of_appearances:20
身, number_of_appearances:30
油腻腻, number_of_appearances:2
铁杆, number_of_appearances:3
旁, number_of_appearances:7
板凳, number_of_appearances:2
顶上, number_of_appearances:3
无力, number_of_appearances:8
垂下, number_of_appearances:2
彩旗, number_of_appearances:1
风, number_of_appearances:4
旗帜, number_of_appearances:2
面的, number_of_appearances:17
图案, number_of_appearances:4
战战兢兢, number_of_appearances:1
望, number_of_appearances:46
背影, number_of_appearances:1
直到, number_of_appearances:34
回过, number_of_appearances:16
坐下, number_of_appearances:28
连忙, number_of_appearances:14
挪开, number_of_appearances:4
首领, number_of_appearances:12
看样子, number_of_appearances:16
十七, number_of_appearances:1
左右, number_of_appearances:11
向前, number_of_appearances:47
迈, number_of_appearances:2
一步, number_of_appearances:26
衣着, number_of_appearances:1
平常, number_of_appearances:4
恤衫, number_of_appearances:3
牛仔裤, number_of_appearances:3
网, number_of_appearances:1
球鞋, number_of_appearances:1
电子表, number_of_appearances:1
不知, number_of_appearances:45
原因, number_of_appearances:32
装扮, number_of_appearances:1
每个人, number_of_appearances:29
应该, number_of_appearances:62
囚, number_of_appearances:1
服, number_of_appearances:3
一样, number_of_appearances:103
短发, number_of_appearances:3
刮, number_of_appearances:5
光光, number_of_appearances:1
愁眉不展, number_of_appearances:1
看不出, number_of_appearances:3
说来话长, number_of_appearances:5
了解, number_of_appearances:35
明天, number_of_appearances:28
各处, number_of_appearances:3
参观, number_of_appearances:6
之前, number_of_appearances:107
别, number_of_appearances:60
打, number_of_appearances:28
坏, number_of_appearances:18
行, number_of_appearances:9
艾尔, number_of_appearances:454
显然, number_of_appearances:21
打算, number_of_appearances:25
握手, number_of_appearances:2
回应, number_of_appearances:19
做出, number_of_appearances:17
决定, number_of_appearances:38
面前, number_of_appearances:30
近旁, number_of_appearances:2
一棵树, number_of_appearances:2
屁股, number_of_appearances:8
背靠, number_of_appearances:6
粗糙, number_of_appearances:14
树皮, number_of_appearances:3
惊恐, number_of_appearances:11
体内, number_of_appearances:4
再一次, number_of_appearances:10
膨胀, number_of_appearances:3
几乎, number_of_appearances:56
承受, number_of_appearances:3
深, number_of_appearances:27
强迫, number_of_appearances:22
接受, number_of_appearances:17
既来之, number_of_appearances:1
则安之, number_of_appearances:1
如果, number_of_appearances:105
低头, number_of_appearances:18
办法, number_of_appearances:17
吧, number_of_appearances:212
大声, number_of_appearances:26
尽量, number_of_appearances:15
平静, number_of_appearances:19
可以, number_of_appearances:85
慢慢说, number_of_appearances:1
一眼, number_of_appearances:53
离, number_of_appearances:33
朋友, number_of_appearances:39
最初, number_of_appearances:4
估计, number_of_appearances:3
差不多, number_of_appearances:13
这里, number_of_appearances:145
六, number_of_appearances:13
十五, number_of_appearances:6
年轻人, number_of_appearances:1
最年长, number_of_appearances:1
之一, number_of_appearances:7
一刻, number_of_appearances:16
突然, number_of_appearances:71
意识, number_of_appearances:28
岁数, number_of_appearances:3
越发, number_of_appearances:11
念头, number_of_appearances:28
心底, number_of_appearances:5
沉, number_of_appearances:12
迷失, number_of_appearances:2
说真的, number_of_appearances:8
故作, number_of_appearances:2
勇敢, number_of_appearances:10
盘腿, number_of_appearances:2
跟, number_of_appearances:174
走过来, number_of_appearances:7
